order_id,customer_id,order_date,quantity,unit_price,status,total_amount,name,email,country,vip
101,1,2023-07-10,3,150,completed,450,Lucas Pereira,lucas.pereira@mail.com,BRAZIL,False
102,2,2023-07-11,1,1200,pending,1200,Emma Torres,emma.torres@mail.com,ARGENTINA,True
103,3,2023-07-12,5,200,cancelled,1000,Noah Jiménez,noah.jimenez@mail.com,MEXICO,False
104,4,2023-07-13,2,750,completed,1500,Sofía Rivas,sofia.rivas@mail.com,COLOMBIA,True
105,5,2023-07-14,10,80,pending,800,Mateo Duarte,mateo.duarte@mail.com,CHILE,False
106,6,2023-07-15,4,300,completed,1200,Valentina Álvarez,valentina.alvarez@mail.com,PERU,True
107,7,2023-07-16,6,180,pending,1080,Thiago Guzmán,thiago.guzman@mail.com,BRAZIL,True
108,8,2023-07-17,3,950,cancelled,2850,Camila Herrera,camila.herrera@mail.com,ARGENTINA,True
109,9,2023-07-18,8,110,completed,880,Benjamín Vega,benjamin.vega@mail.com,CHILE,False
110,10,2023-07-19,2,1000,pending,2000,Isabella Cruz,isabella.cruz@mail.com,MEXICO,True
111,11,2023-07-20,1,2200,completed,2200,Martín Paredes,martin.paredes@mail.com,COLOMBIA,True
112,12,2023-07-21,7,140,completed,980,Antonella Mora,antonella.mora@mail.com,PERU,False
113,13,2023-07-22,5,210,pending,1050,Joaquín Ramírez,joaquin.ramirez@mail.com,BRAZIL,True
114,14,2023-07-23,2,1300,cancelled,2600,Abril Navarro,abril.navarro@mail.com,ARGENTINA,True
115,15,2023-07-24,9,95,completed,855,Santiago León,santiago.leon@mail.com,MEXICO,False
116,16,2023-07-25,3,400,completed,1200,Aitana Cordero,aitana.cordero@mail.com,CHILE,True
117,17,2023-07-26,4,275,pending,1100,Emilio Vargas,emilio.vargas@mail.com,COLOMBIA,True
118,18,2023-07-27,1,850,cancelled,850,Josefina Peña,josefina.pena@mail.com,PERU,False
119,19,2023-07-28,6,160,completed,960,Facundo Bravo,facundo.bravo@mail.com,ARGENTINA,False
120,20,2023-07-29,2,1250,pending,2500,Regina Campos,regina.campos@mail.com,MEXICO,True
121,21,2023-07-30,10,70,cancelled,700,Iker Castillo,iker.castillo@mail.com,COLOMBIA,False
122,22,2023-07-31,3,300,completed,900,Zoe Medina,zoe.medina@mail.com,CHILE,False
123,23,2023-08-01,2,1450,pending,2900,Bruno Salinas,bruno.salinas@mail.com,PERU,True
124,24,2023-08-02,4,220,cancelled,880,Renata Cabrera,renata.cabrera@mail.com,BRAZIL,False
125,25,2023-08-03,5,195,completed,975,Luciano Torres,luciano.torres@mail.com,ARGENTINA,False
126,26,2023-08-04,3,180,pending,540,Mía Aguirre,mia.aguirre@mail.com,MEXICO,False
127,27,2023-08-05,6,250,completed,1500,Gaspar Molina,gaspar.molina@mail.com,CHILE,True
128,28,2023-08-06,1,999,completed,999,Catalina Ríos,catalina.rios@mail.com,COLOMBIA,False
129,29,2023-08-07,2,600,cancelled,1200,Elías Blanco,elias.blanco@mail.com,PERU,True
130,30,2023-08-08,3,1100,pending,3300,Julieta Silva,julieta.silva@mail.com,BRAZIL,True
