order_id,customer_id,order_date,quantity,unit_price
101,1,2023-07-10,3,150
102,2,2023-07-11,1,1200
103,3,2023-07-12,5,200
104,4,2023-07-13,2,750
105,5,2023-07-14,10,80
106,6,2023-07-15,4,300
107,7,2023-07-16,6,180
108,8,2023-07-17,3,950
109,9,2023-07-18,8,110
110,10,2023-07-19,2,1000
111,11,2023-07-20,1,2200
112,12,2023-07-21,7,140
113,13,2023-07-22,5,210
114,14,2023-07-23,2,1300
115,15,2023-07-24,9,95
116,16,2023-07-25,3,400
117,17,2023-07-26,4,275
118,18,2023-07-27,1,850
119,19,2023-07-28,6,160
120,20,2023-07-29,2,1250
121,21,2023-07-30,10,70
122,22,2023-07-31,3,300
123,23,2023-08-01,2,1450
124,24,2023-08-02,4,220
125,25,2023-08-03,5,195
126,26,2023-08-04,3,180
127,27,2023-08-05,6,250
128,28,2023-08-06,1,999
129,29,2023-08-07,2,600
130,30,2023-08-08,3,1100
