customer_id,name,email,country
1,Lucas Pereira,lucas.pereira@mail.com,Brazil
2,Emma Torres,emma.torres@mail.com,Argentina
3,Noah Jiménez,noah.jimenez@mail.com,Mexico
4,Sofía Rivas,sofia.rivas@mail.com,Colombia
5,Mateo Duarte,mateo.duarte@mail.com,Chile
6,Valentina Álvarez,valentina.alvarez@mail.com,Peru
7,Thiago Guzmán,thiago.guzman@mail.com,Brazil
8,Camila Herrera,camila.herrera@mail.com,Argentina
9,Benjamín Vega,benjamin.vega@mail.com,Chile
10,Isabella Cruz,isabella.cruz@mail.com,Mexico
11,Martín Paredes,martin.paredes@mail.com,Colombia
12,Antonella Mora,antonella.mora@mail.com,Peru
13,Joaquín Ramírez,joaquin.ramirez@mail.com,Brazil
14,Abril Navarro,abril.navarro@mail.com,Argentina
15,Santiago León,santiago.leon@mail.com,Mexico
16,Aitana Cordero,aitana.cordero@mail.com,Chile
17,Emilio Vargas,emilio.vargas@mail.com,Colombia
18,Josefina Peña,josefina.pena@mail.com,Peru
19,Facundo Bravo,facundo.bravo@mail.com,Argentina
20,Regina Campos,regina.campos@mail.com,Mexico
21,Iker Castillo,iker.castillo@mail.com,Colombia
22,Zoe Medina,zoe.medina@mail.com,Chile
23,Bruno Salinas,bruno.salinas@mail.com,Peru
24,Renata Cabrera,renata.cabrera@mail.com,Brazil
25,Luciano Torres,luciano.torres@mail.com,Argentina
26,Mía Aguirre,mia.aguirre@mail.com,Mexico
27,Gaspar Molina,gaspar.molina@mail.com,Chile
28,Catalina Ríos,catalina.rios@mail.com,Colombia
29,Elías Blanco,elias.blanco@mail.com,Peru
30,Julieta Silva,julieta.silva@mail.com,Brazil

